open,high,low,close,volume
2020-10-14 10:00:00-04:00,101.16,101.16,100.68,100.8,107802
2020-10-14 10:15:00-04:00,100.89,101.32,100.865,100.89,93056
2020-10-14 10:30:00-04:00,100.885,101.06,100.685,100.735,106187
2020-10-14 10:45:00-04:00,100.78,101.25,100.73,101.04,104616
2020-10-14 11:00:00-04:00,101.06,101.08,100.91,100.99,46228
2020-10-14 11:15:00-04:00,101.05,101.14,100.93,100.93,40346
2020-10-14 11:30:00-04:00,100.96,101.11,100.87,101.02,18896
2020-10-14 11:45:00-04:00,101.005,101.005,100.58,100.745,73240
2020-10-14 12:00:00-04:00,100.81,101.09,100.81,100.99,22772
2020-10-14 12:15:00-04:00,100.94,101.01,100.75,101.0,34177
2020-10-14 12:30:00-04:00,101.01,101.06,100.785,100.94,29759
2020-10-14 12:45:00-04:00,100.91,101.12,100.91,101.07,19564
2020-10-14 13:00:00-04:00,101.07,101.21,101.04,101.21,917377
2020-10-14 13:15:00-04:00,101.215,101.31,101.04,101.07,27186
2020-10-14 13:30:00-04:00,101.03,101.05,100.875,100.98,20040
2020-10-14 13:45:00-04:00,101.0,101.04,100.88,100.885,11411
2020-10-14 14:00:00-04:00,100.87,100.92,100.78,100.85,15556
2020-10-14 14:15:00-04:00,100.87,100.97,100.8,100.97,17572
2020-10-14 14:30:00-04:00,100.94,100.96,100.73,100.84,38743
2020-10-14 14:45:00-04:00,100.85,100.98,100.82,100.88,22293
2020-10-14 15:00:00-04:00,100.845,101.06,100.79,101.05,35188
2020-10-14 15:15:00-04:00,101.04,101.07,100.82,100.84,42377
2020-10-14 15:30:00-04:00,100.83,100.86,100.52,100.58,68944
2020-10-14 15:45:00-04:00,100.565,100.725,100.11,100.11,186370
2020-10-15 09:30:00-04:00,99.11,99.96,99.07,99.31,163540
2020-10-15 09:45:00-04:00,99.33,99.68,99.21,99.68,35309
2020-10-15 10:00:00-04:00,99.68,100.57,99.63,100.22,88883
2020-10-15 10:15:00-04:00,100.2,100.55,100.19,100.46,33212
2020-10-15 10:30:00-04:00,100.47,100.98,100.47,100.93,50757
2020-10-15 10:45:00-04:00,100.87,101.13,100.75,101.13,36282
2020-10-15 11:00:00-04:00,101.07,101.66,100.89,101.48,41287
2020-10-15 11:15:00-04:00,101.44,101.44,100.98,101.01,30409
2020-10-15 11:30:00-04:00,101.02,101.05,100.81,100.81,621883
2020-10-15 11:45:00-04:00,100.86,101.47,100.86,101.12,434265
2020-10-15 12:00:00-04:00,101.12,101.22,101.08,101.14,1028683
2020-10-15 12:15:00-04:00,101.1,101.1,100.97,101.05,1014616
2020-10-15 12:30:00-04:00,101.05,101.3,101.05,101.3,14532
2020-10-15 12:45:00-04:00,101.28,101.7,101.22,101.49,43719
2020-10-15 13:00:00-04:00,101.5,101.5,101.3,101.375,13616
2020-10-15 13:15:00-04:00,101.38,101.62,101.23,101.605,29316
2020-10-15 13:30:00-04:00,101.63,101.66,101.4,101.61,15245
2020-10-15 13:45:00-04:00,101.6,101.6,101.36,101.43,21143
2020-10-15 14:00:00-04:00,101.42,101.495,101.34,101.39,24213
2020-10-15 14:15:00-04:00,101.34,101.35,101.19,101.27,17285
2020-10-15 14:30:00-04:00,101.23,101.39,101.23,101.36,18441
2020-10-15 14:45:00-04:00,101.37,101.5,101.33,101.41,14734
